source,target
86,64
25,49
81,64
32,30
72,56
23,69
78,37
51,86
16,12
5,12
44,31
89,77
43,44
63,28
12,74
18,32
77,18
42,75
49,28
94,53
96,67
73,12
5,2
53,37
19,50
37,28
49,8
40,5
77,41
52,83
75,11
43,96
90,0
45,62
56,61
44,28
16,35
80,68
64,28
85,12
1,96
57,16
63,52
41,7
84,17
78,87
94,53
58,77
46,3
7,64
76,58
90,45
70,50
13,59
60,6
22,23
81,89
17,87
45,47
32,85
25,31
73,96
48,32
31,1
54,24
18,8
32,43
35,65
20,28
9,74
7,28
2,92
35,77
95,67
32,28
66,56
21,30
51,52
56,13
55,27
7,84
51,34
31,23
93,90
6,46
94,75
94,99
23,27
2,39
96,22
20,41
28,32
92,16
35,78
25,84
30,57
74,35
87,28
11,3
77,14
9,47
70,21
31,29
49,37
4,81
51,68
71,5
46,86
61,21
91,39
60,23
72,36
46,85
79,51
46,9
80,15
44,69
13,81
63,57
80,44
16,34
74,83
74,2
55,21
6,99
69,86
4,21
60,59
85,11
6,90
73,44
40,14
68,25
58,84
82,53
34,32
88,57
52,54
88,55
43,10
95,89
71,45
70,71
40,5
50,54
84,66
5,43
38,15
63,95
53,15
72,6
58,63
43,79
79,48
40,32
48,98
55,82
30,83
35,45
52,24
57,78
8,32
55,66
58,39
0,36
61,54
84,63
50,62
44,54
90,81
3,28
27,73
97,62
49,58
70,76
11,0
83,22
81,75
40,79
6,52
33,4
17,16
38,74
20,80
80,51
46,88
34,65
69,98
57,61
35,88
84,16
28,35
84,86
32,17
93,44
6,84
24,63
79,2
1,98
35,19
7,92
35,46
14,64
9,4
4,74
15,95
11,77
39,21
12,40
63,13
5,48
95,87
72,70
2,41
93,27
54,34
50,45
49,31
34,84
91,88
67,77
50,20
15,25
83,20
40,28
73,2
77,62
61,8
80,62
23,76
80,81
22,70
97,55
72,60
53,42
34,14
66,42
33,48
58,16
54,58
52,60
55,15
90,46
61,48
17,6
40,88
48,76
86,80
97,63
59,23
68,53
60,64
40,78
67,68
73,38
62,1
76,63
4,49
17,46
74,56
48,85
93,1
47,98
23,88
93,59
70,59
97,55
51,71
88,39
63,10
1,30
39,12
2,61
83,97
57,92
84,6
11,29
7,44
11,40
84,3
66,47
32,35
42,77
82,53
36,4
92,31
55,21
74,50
30,42
39,69
79,32
50,71
53,12
74,31
11,1
