enroll_id,truth
772,1
773,1
774,1
776,0
777,1
779,1
780,1
781,1
782,1
785,1
786,0
790,0
792,1
793,1
799,1
802,1
804,1
806,1
808,0
812,1
813,1
815,1
816,1
818,1
820,1
821,1
824,1
825,1
826,1
829,1
830,1
831,1
832,1
833,0
835,1
837,1
840,1
844,1
846,0
847,0
848,1
849,1
851,1
852,1
855,0
856,1
859,1
860,1
861,1
863,1
864,0
866,1
867,1
872,1
878,1
880,1
881,1
885,1
886,1
887,1
890,1
893,1
895,1
896,1
899,0
901,1
903,0
906,1
907,1
908,0
910,1
913,1
914,1
915,0
918,0
919,1
920,1
922,1
925,1
926,1
929,1
932,1
935,1
936,1
937,1
938,1
939,0
940,1
944,1
946,1
950,1
953,1
954,1
955,1
957,0
959,1
960,0
961,1
962,1
963,1
965,1
967,1
968,1
969,0
970,1
973,1
975,1
976,1
977,1
979,1
984,1
985,0
988,1
989,1
990,1
991,0
992,0
994,0
995,1
996,1
1000,0
1006,1
1009,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1020,1
1021,1
1022,1
1023,1
1025,1
1026,1
1027,1
1028,0
1029,1
1030,1
1031,0
1033,1
1035,1
1036,1
1038,0
1042,1
1043,1
1050,1
1051,1
1058,1
1059,1
1060,1
1062,1
1063,1
1066,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1078,1
1081,1
1083,0
1085,1
1086,1
1087,0
1094,0
1096,1
1097,1
1098,1
1099,1
1103,0
1106,1
1108,1
1109,1
1111,1
1113,1
1114,0
1116,1
1117,0
1118,1
1124,1
1125,1
1126,0
1127,0
1130,0
1133,1
1134,1
1135,1
1136,1
1139,1
1141,0
1142,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1152,0
1154,1
1155,1
1156,1
1157,0
1163,1
1164,0
1168,1
1170,1
1171,1
1175,1
1178,1
1179,0
1180,0
1181,0
1183,1
1184,1
1185,1
1188,1
1189,1
1190,1
1192,1
1193,1
1194,0
1199,1
1200,1
1201,1
1202,0
1207,1
1208,1
1210,0
1211,1
1213,1
1215,0
1216,0
1220,0
1224,1
1226,0
1228,1
1230,1
1232,1
1233,1
1234,1
1235,0
1237,0
1238,1
1239,0
1241,1
1242,1
1247,1
1249,1
1251,1
1252,1
1253,0
1255,0
1260,0
1261,1
1262,1
1263,1
1264,1
1267,1
1269,1
1270,1
1272,1
1273,1
1274,1
1276,0
1278,1
1280,1
1282,0
1283,1
1285,1
1287,1
1288,1
1289,1
1290,1
1294,0
1295,1
1296,0
1302,1
1303,1
1304,1
1305,1
1308,1
1309,0
1310,1
1313,1
1316,1
1317,1
1318,1
1320,1
1329,1
1332,1
1333,1
1335,1
1338,1
1341,1
1342,1
1346,0
1350,0
1351,1
1355,1
1357,1
1359,0
1361,0
1365,1
1366,1
1369,1
1370,1
1371,1
1372,1
1374,1
1375,1
1376,0
1379,1
1380,1
1382,1
1384,1
1385,1
1388,0
1389,1
1390,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,1
1402,1
1405,1
1406,1
1407,0
1408,1
1412,0
1415,0
1416,1
1418,1
1420,1
1421,1
1422,1
1425,1
1428,1
1429,1
1431,1
1433,0
1435,1
1436,1
1440,1
1450,1
1452,1
1453,1
1454,0
1455,1
1457,1
1459,1
1460,1
1464,1
1467,1
1471,1
1472,1
1474,0
1476,1
1477,0
1480,1
1481,1
1482,1
1483,1
1484,1
1486,1
1488,1
1489,1
1490,1
1491,1
1493,1
1494,0
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1508,1
1509,0
1511,1
1516,1
1517,1
1518,0
1519,1
1521,1
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,0
1532,1
1534,1
1536,0
1537,1
1542,1
1546,1
1548,1
1550,1
1551,1
1553,1
1556,1
1557,1
1559,0
1560,1
1561,1
1562,1
1563,1
1567,1
1568,1
1570,1
1571,1
1573,1
1576,1
1582,1
1587,0
1588,1
1590,1
1592,0
1593,1
1595,1
1596,1
1597,1
1602,1
1605,1
1606,1
1607,1
1608,1
1611,1
1614,1
1618,1
1619,1
1621,1
1622,1
1623,1
1625,1
1627,0
1630,1
1631,1
1632,1
1633,1
1635,1
1636,1
1639,1
1640,1
1643,1
1646,1
1649,1
1651,1
1653,1
1654,1
1655,1
1657,1
1660,1
1661,0
1665,1
1667,1
1669,1
1670,0
1671,0
1672,1
1674,1
1676,1
1677,1
1678,1
1680,1
1684,1
1685,1
1686,1
1687,1
1688,1
1691,1
1692,1
1701,1
1704,1
1705,1
1706,1
1709,0
1710,1
1712,1
1715,1
1720,0
1726,1
1727,1
1728,0
1729,1
1730,0
1732,1
1733,1
1734,1
1735,1
1737,1
1738,1
1739,0
1740,1
1741,1
1742,1
1743,1
1744,1
1745,1
1746,0
1748,1
1750,1
1752,0
1755,0
1756,1
1759,1
1760,1
1761,1
1762,1
1764,1
1765,1
1767,1
1768,1
1770,0
1771,1
1773,1
1775,0
1776,1
1777,0
1778,1
1782,1
1783,0
1784,1
1786,1
1787,1
1790,1
1792,1
1793,1
1794,0
1795,0
1797,0
1798,1
1799,1
1801,1
1805,1
1807,1
1808,1
1811,0
1815,1
1817,1
1818,1
1819,1
1822,1
1823,1
1827,1
1828,0
1830,0
1831,1
1832,1
1834,1
1835,1
1836,1
1838,1
1839,1
1840,1
1841,1
1844,1
1845,1
1849,1
1854,1
1855,1
1861,1
1865,1
1871,1
1872,1
1874,1
1875,1
1882,1
1884,1
1885,1
1886,1
1887,1
1889,1
1890,0
1891,1
1892,1
1893,0
1895,0
1896,0
1897,1
1898,1
1899,1
1903,1
1905,1
1906,0
1908,1
1909,0
1910,0
1911,1
1913,0
1915,1
1916,1
1917,0
1918,1
1919,1
1922,1
1923,1
1925,1
1926,1
1927,1
1932,1
1934,0
1937,1
1939,1
1944,1
1946,1
1948,1
1952,1
1956,1
1957,1
1958,1
1962,1
1963,1
1966,1
1968,0
1969,1
1970,0
1972,0
1973,1
1974,1
1976,1
1977,1
1978,1
1980,1
1981,1
1985,0
1993,1
1996,1
2007,1
2008,1
2009,1
2010,1
2012,0
2013,0
2015,0
2016,1
2020,1
2021,1
2022,1
2023,1
2029,0
2031,0
2034,1
2035,0
2037,1
2038,1
2040,1
2041,0
2046,0
2048,1
2049,1
2052,1
2054,1
2055,1
2056,1
2058,1
2059,0
2060,1
2061,1
2065,0
2066,1
2068,1
2071,1
2072,1
2074,0
2075,1
2077,1
2080,1
2082,0
2085,0
2086,1
2088,1
2090,1
2091,0
2096,1
2099,1
2100,1
2101,0
2104,1
2107,1
2110,0
2112,1
2113,1
2114,1
2116,0
2119,1
2122,1
2123,1
2125,1
2127,1
2128,1
2130,1
2131,1
2135,1
2136,0
2138,1
2140,0
2142,1
2143,1
2145,1
2148,1
2150,0
2152,1
2153,1
2154,1
2156,1
2157,1
2158,1
2160,0
2163,1
2164,1
2170,0
2171,0
2174,0
2175,1
2177,1
2179,1
2181,1
2184,1
2185,0
2186,1
2188,1
2190,1
2194,1
2197,0
2198,1
2201,1
2204,1
2205,1
2209,1
2210,1
2212,1
2214,1
2216,1
2217,1
2218,1
2220,1
2221,1
2222,0
2223,1
2225,1
2227,1
2234,1
2235,0
2236,1
2238,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,0
2250,1
2251,1
2256,1
2257,1
2262,1
2263,0
2265,1
2266,1
2267,1
2268,1
2270,0
2271,0
2273,0
2277,0
2282,1
2283,1
2284,1
2290,1
2292,1
2295,1
2296,0
2298,1
2299,1
2302,1
2303,0
2304,1
2306,1
2310,0
2311,1
2313,0
2317,1
2320,1
2321,1
2322,1
2323,1
2329,1
2330,1
2331,0
2332,1
2335,1
2336,1
2338,0
2340,1
2342,1
2343,1
2345,1
2348,1
2349,1
2351,1
2356,1
2358,1
2362,1
2364,1
2365,0
2366,0
2367,1
2368,1
2371,1
2372,1
2373,1
2375,1
2376,1
2377,1
2378,1
2381,1
2383,1
2384,1
2385,1
2386,0
2390,1
2391,1
2392,1
2396,1
2397,1
2399,0
2400,1
2401,1
2403,0
2404,1
2405,1
2408,1
2409,1
2411,0
2412,1
2415,0
2418,1
2421,1
2422,0
2423,1
2427,1
2428,1
2434,1
2435,1
2436,0
2439,0
2442,1
2446,1
2450,1
2453,1
2455,0
2456,1
2457,0
2458,0
2461,0
2464,1
2470,0
2473,1
2478,0
2479,1
2480,1
2483,1
2484,1
2485,1
2487,0
2489,0
2490,0
2491,1
2495,0
2497,0
2498,1
2500,1
2502,1
2505,0
2506,0
2507,1
2511,0
2512,1
2513,1
2514,1
2515,0
2518,1
2522,1
2523,1
2525,0
2526,1
2528,1
2530,1
2531,1
2534,1
2536,1
2538,1
2540,1
2542,1
2543,1
2544,1
2547,1
2548,1
2553,1
2556,1
2558,0
2559,0
2560,1
2561,0
2562,1
2565,1
2566,1
2570,1
2575,1
2576,1
2577,1
2579,1
2580,0
2584,1
2586,1
2587,0
2588,1
2589,1
2590,1
2591,0
2594,1
2595,1
2597,0
2600,1
2601,1
2602,1
2603,1
2608,0
2610,1
2824,1
2825,0
2826,1
2827,1
2830,1
2834,1
2835,1
2836,1
2841,0
2842,1
2845,0
2850,1
2851,1
2856,1
2857,1
2864,1
2866,1
2867,1
2868,1
2869,1
2870,1
2874,0
2879,0
2881,1
2882,1
2883,1
2884,1
2891,1
2894,1
2900,1
2902,0
2903,1
2905,1
2907,1
2908,1
2909,1
2912,1
2913,1
2914,1
2916,0
2921,1
2922,0
2923,0
2928,1
2932,0
2934,1
2937,0
2938,1
2940,1
2941,1
2945,0
2946,1
2947,1
2948,1
2951,1
2953,0
2954,1
2958,1
2959,1
2960,1
2961,1
2964,1
2965,1
2967,1
2968,0
2975,1
2976,1
2981,1
2982,1
2983,1
2984,1
2986,1
2989,1
2992,1
2993,1
2995,1
2996,1
3000,1
3002,0
3006,1
3017,1
3018,1
3019,1
3022,1
3023,1
3024,1
3025,0
3026,1
3027,1
3028,1
3029,1
3030,0
3032,1
3033,1
3034,1
3035,1
3038,1
3039,1
3041,1
3042,1
3043,1
3044,1
3045,1
3046,1
3050,0
3051,1
3054,1
3055,1
3056,1
3057,0
3058,1
3059,1
3063,1
3064,0
3065,1
3067,1
3069,1
3070,0
3071,1
3072,1
3074,1
3078,1
3080,1
3081,1
3084,1
3088,1
3090,1
3092,0
3093,1
3095,1
3097,1
3099,1
3100,1
3101,0
3104,1
3106,1
3107,1
3108,1
3109,1
3110,0
3114,1
3117,1
3120,1
3123,0
3126,1
3128,1
3131,1
3132,1
3134,1
3136,1
3137,1
3139,1
3141,1
3146,1
3147,1
3152,1
3155,1
3156,1
3157,1
3160,1
3162,0
3164,1
3167,1
3168,1
3170,0
3172,1
3173,0
3179,1
3180,1
3181,1
3183,1
3187,1
3189,1
3190,1
3191,1
3193,0
3194,1
3196,1
3198,1
3201,1
3202,1
3205,1
3207,1
3208,1
3210,1
3214,0
3220,1
3221,1
3222,1
3224,1
3226,1
3228,1
3230,1
3231,1
3232,1
3233,1
3238,1
3242,0
3243,1
3245,1
3247,1
3252,1
3259,1
3260,1
3268,1
3269,1
3270,1
3272,1
3274,0
3275,0
3276,0
3277,1
3279,0
3281,0
3282,0
3284,1
3287,1
3288,1
3292,1
3294,1
3300,1
3301,1
3304,0
3308,0
3312,1
3314,0
3316,1
3317,1
3319,1
3320,1
3321,1
3322,1
3324,0
3325,1
3330,1
3331,1
3334,0
3335,1
3337,1
3338,1
3340,1
3342,1
3346,1
3348,1
3349,1
3351,1
3352,1
3355,1
3356,1
3357,1
3359,1
3361,1
3363,0
3364,1
3365,1
3366,1
3367,1
3368,0
3370,1
3371,1
3372,1
3373,0
3374,1
3379,1
3380,1
3382,1
3384,1
3389,1
3392,1
3393,1
3394,1
3397,1
3398,1
3400,1
3401,1
3405,1
3406,1
3407,1
3408,1
3412,1
3413,0
3414,0
3416,1
3417,1
3418,1
3427,0
3429,0
3430,1
3431,1
3434,1
3435,1
3440,1
3441,1
3444,1
3446,1
3447,1
3448,1
3450,1
3451,1
3455,0
3456,1
3462,1
3464,1
3465,1
3468,1
3469,1
3471,1
3472,1
3474,1
3477,1
3478,0
3480,0
3481,1
3484,1
3485,1
3488,1
3489,1
3494,1
3496,1
3497,0
3498,1
3499,1
3505,1
3506,1
3511,0
3512,1
3514,0
3515,0
3519,1
3520,1
3521,0
3523,0
3525,1
3526,1
3529,1
3530,1
3532,1
3533,0
3534,1
3536,1
3539,0
3541,1
3542,1
3543,0
4007,1
4008,1
4009,1
4016,1
4017,1
4019,1
4021,0
4023,1
4024,0
4031,1
4032,1
4036,1
4038,1
4040,1
4041,1
4043,1
4045,1
4046,0
4047,1
4048,0
4050,1
4053,1
4054,1
4057,1
4058,1
4059,0
4060,1
4061,1
4062,1
4064,1
4067,0
4068,0
4069,1
4070,1
4074,1
4080,1
4082,1
4085,1
4086,1
4087,1
4090,1
4091,1
4092,1
4095,1
4101,1
4105,0
4109,0
4110,1
4111,1
4113,1
4114,1
4115,1
4117,1
4122,1
4127,1
4130,1
4133,1
4134,1
4135,1
4138,1
4142,1
4144,1
4145,1
4146,1
4147,1
4154,0
4155,1
4156,1
4157,1
4158,1
4160,1
4163,0
4166,1
4168,1
4170,1
4174,1
4175,1
4180,1
4183,1
4184,0
4187,1
4189,1
4190,1
4191,1
4196,1
4198,0
4200,1
4202,1
4203,1
4206,1
4210,1
4212,1
4214,1
4215,0
4216,1
4220,1
